signal,timerange,Temperature,DewPoint,Humidity,Wind,WindSpeed,WindGust,Pressure,Condition
-112,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-112,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-111,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-113,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-113,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-102,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-78,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-86,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-86,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-78,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-78,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-89,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-89,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-90,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-90,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-86,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-86,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-88,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-88,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-74,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-91,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-91,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-91,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-91,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-88,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-73,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-73,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-79,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-79,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-81,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-77,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-77,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-88,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-88,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-85,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-86,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-86,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-79,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-79,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-80,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-80,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-83,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-84,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-82,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-93,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-90,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-92,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-95,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-95,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-102,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-102,2 oct 2019 20 to 21 hrs,64 ,63 ,96 ,NNW,12 ,0 ,28.85 ,T-Storm
-94,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-94,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-93,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-92,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-94,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-94,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-93,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-92,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-92,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-94,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-91,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-90,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-90,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-97,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-97,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-80,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-80,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
-87,2 oct 2019 14 to 15 hrs,84 ,72 ,67 ,WSW,13 ,0 ,28.79 ,Mostly Cloudy
