cellid,sigl,acc,bearing,alt,rsrq,rssnr,ta,WindSpeed,WindGust,Precip
10118668,4,13.1,355.2,222.7,-15,6,5,12 ,30 ,0.0 
10118668,4,15.5,75.2,222.7,-15,8.8,5,12 ,30 ,0.0 
10118668,4,15.6,75.5,222.7,-14,5.6,5,12 ,30 ,0.0 
10118668,4,14.9,91.7,224.1,-14,5.2,5,12 ,30 ,0.0 
10118668,4,14.7,123.9,224.1,-12,10.4,-1,12 ,30 ,0.0 
10118668,4,15.3,93.5,233.6,-12,11.8,-1,12 ,30 ,0.0 
10118668,4,17.3,94,233.6,-11,12.8,-1,12 ,30 ,0.0 
10118668,4,8.7,110.3,233.6,-11,-1.2,-1,12 ,30 ,0.0 
10118668,4,17.2,157.5,226.9,-13,-1.2,-1,12 ,30 ,0.0 
10118668,4,17,79.5,226.9,-13,2.6,-1,12 ,30 ,0.0 
25670668,4,18.2,74.7,226.9,-14,0,5,12 ,30 ,0.0 
10118668,4,19.1,70.9,221.2,-14,-1.8,5,12 ,30 ,0.0 
10118668,4,16.3,69.5,221.2,-14,7.8,5,12 ,30 ,0.0 
10118668,4,17,78.7,221.2,-19,-1.6,6,12 ,30 ,0.0 
10118668,4,17.3,70.6,221.2,-19,6,6,12 ,30 ,0.0 
25670668,4,16.6,71.8,234.6,-11,4.2,-1,12 ,30 ,0.0 
25670668,4,13.7,77.7,239.4,-11,6.8,-1,12 ,30 ,0.0 
25670668,4,12.8,89.2,239.4,-9,7.2,5,12 ,30 ,0.0 
25670668,4,12.7,80.6,234.6,-9,5.6,5,12 ,30 ,0.0 
25670668,4,13.2,102.9,234.6,-9,4.2,5,12 ,30 ,0.0 
25670668,4,12.8,80.6,234.6,-13,-3,-1,12 ,30 ,0.0 
25670668,4,13.4,102.2,239.6,-13,3.4,-1,12 ,30 ,0.0 
10118668,4,14.3,121.4,239.9,-14,-2,-1,12 ,30 ,0.0 
10118668,4,16.9,123.6,239.9,-14,10,-1,12 ,30 ,0.0 
10118668,4,18,139.1,239.9,-15,7.4,-1,12 ,30 ,0.0 
10118668,4,14.9,86.9,241.4,-15,3,-1,12 ,30 ,0.0 
10118668,4,12.5,83.8,241.4,-11,6,-1,12 ,30 ,0.0 
10118668,4,14.4,81.3,241.4,-11,3,-1,12 ,30 ,0.0 
10118668,4,15,71.6,241.4,-16,3,-1,12 ,30 ,0.0 
10118668,4,15.9,25.7,241.4,-16,3,-1,12 ,30 ,0.0 
10118668,4,16.9,100.2,241.4,-17,-1,-1,12 ,30 ,0.0 
10118668,4,16.5,90.9,241.4,-17,0,-1,12 ,30 ,0.0 
10118668,4,15.7,95,246,-16,-0.2,-1,12 ,30 ,0.0 
10118668,4,15.1,99,246,-16,-1.6,-1,12 ,30 ,0.0 
10118668,4,13.4,95.3,246,-14,-1.6,5,12 ,30 ,0.0 
10118668,4,15,111.5,246,-14,-1.6,5,12 ,30 ,0.0 
10118668,4,15,106.9,246,-15,8.2,5,12 ,30 ,0.0 
10118668,4,11.1,80.8,246,-15,3,5,12 ,30 ,0.0 
10118668,4,11.6,85.7,246.5,-12,7.4,5,12 ,30 ,0.0 
10118668,4,12.9,84.7,246.5,-12,-3.4,5,12 ,30 ,0.0 
10118668,4,14,87.9,246,-12,3.6,5,12 ,30 ,0.0 
10118668,4,15.5,84.6,238.2,-12,7.6,5,12 ,30 ,0.0 
10118668,4,16.5,79.6,238.2,-13,2.8,6,12 ,30 ,0.0 
10118668,4,15.8,78.2,246,-15,8.6,-1,12 ,30 ,0.0 
10118668,4,15.4,72.7,246,-15,3.8,-1,12 ,30 ,0.0 
10118668,4,16.9,76.7,238.2,-13,2.2,6,12 ,30 ,0.0 
10118668,4,17.7,74.1,238.2,-13,5.4,6,12 ,30 ,0.0 
10118668,4,23.4,73,246.7,-13,5.4,6,12 ,30 ,0.0 
10118668,4,23.6,75.7,246.7,-15,6,7,12 ,30 ,0.0 
25670668,4,21.8,76.9,246.5,-13,8,7,12 ,30 ,0.0 
25670668,4,21.2,66.9,246.5,-13,5.4,7,12 ,30 ,0.0 
25670668,4,19.9,74.2,246.5,-10,6,-1,12 ,30 ,0.0 
25670668,4,19.5,78.6,246.5,-10,-1.2,-1,12 ,30 ,0.0 
25670668,4,16.8,90.3,246.5,-16,-0.2,8,12 ,30 ,0.0 
25670668,4,14.2,96.8,240.1,-16,5.6,8,12 ,30 ,0.0 
5125643,4,14.4,108,240.1,-15,4,2,12 ,30 ,0.0 
5125643,4,14.6,104,240.1,-15,0.8,2,12 ,30 ,0.0 
25670668,4,15.3,96.2,240.1,-10,3,7,12 ,30 ,0.0 
25670668,4,16.2,163.1,240.1,-10,-4.8,7,12 ,30 ,0.0 
5125643,4,17.9,168.4,240.1,-16,-4.6,-1,12 ,30 ,0.0 
5125643,4,19.2,156,240.1,-16,-1.8,-1,12 ,30 ,0.0 
5125645,4,19,154.2,240.1,-15,-3,-1,12 ,30 ,0.0 
5125645,4,16.5,149.2,240.1,-15,-3,-1,12 ,30 ,0.0 
10118668,4,15.1,149.7,254.6,-20,4,6,12 ,30 ,0.0 
10118668,4,17.5,156.1,254.6,-20,-3.4,6,12 ,30 ,0.0 
10118668,4,49.6,21.2,254.6,-14,-3.4,-1,12 ,30 ,0.0 
10118668,4,37.5,50.9,254.6,-14,12.6,-1,12 ,30 ,0.0 
10118668,4,14.7,112.9,254.6,-9,10.4,6,12 ,30 ,0.0 
10118668,4,21.6,11.3,245.5,-14,-1.8,-1,12 ,30 ,0.0 
10118668,4,26.1,310.3,245.5,-14,-1,-1,12 ,30 ,0.0 
10118668,4,22.1,43.7,254.6,-14,-4,-1,12 ,30 ,0.0 
10118668,4,19.5,66.3,254.6,-14,-4,-1,12 ,30 ,0.0 
10118668,4,21.3,98.1,254.6,-14,2.6,-1,12 ,30 ,0.0 
10118668,4,19.9,99.7,255.4,-14,0.6,-1,12 ,30 ,0.0 
10118668,4,22.5,98.7,254.6,-14,8.6,-1,12 ,30 ,0.0 
10118668,4,25.3,84.7,254.6,-14,-3.8,-1,12 ,30 ,0.0 
10118668,3,33.3,329,246.9,-11,-3.8,-1,12 ,30 ,0.0 
8792588,4,16.8,251.8,260.4,-11,16.4,3,12 ,30 ,0.0 
8792588,4,16.2,71.7,252.3,-13,17,3,12 ,30 ,0.0 
8792588,4,14.1,256.9,251.7,-13,18.2,3,12 ,30 ,0.0 
8792588,4,13.1,178.7,251.7,-11,14.8,3,12 ,30 ,0.0 
5122562,4,13.7,10,251.7,-10,21.2,-1,12 ,30 ,0.0 
5122562,4,12.6,170.9,251.7,-15,15.8,-1,12 ,30 ,0.0 
5122562,4,14.3,131.9,247.4,-15,18,-1,12 ,30 ,0.0 
5122562,4,16.4,40.5,247.4,-12,18.4,-1,12 ,30 ,0.0 
5122562,4,17.7,44.9,250.4,-12,20,-1,12 ,30 ,0.0 
5122562,4,19.5,113.7,247.4,-7,22.2,2,12 ,30 ,0.0 
5122562,4,17.3,77.5,251.7,-7,19.8,2,12 ,30 ,0.0 
5122562,4,17.9,19.8,251.7,-13,27,-1,12 ,30 ,0.0 
5122562,4,17.8,353.6,248.5,-13,17,-1,12 ,30 ,0.0 
5122562,4,14.4,7.7,249.4,-11,22.6,-1,12 ,30 ,0.0 
5122562,4,12.2,4.4,249.4,-11,14.4,2,12 ,30 ,0.0 
5122562,4,11.8,42.9,251,-11,20,2,12 ,30 ,0.0 
5122562,4,12.1,44.6,249.4,-11,19.4,-1,12 ,30 ,0.0 
5122562,4,12.2,64.2,249.6,-11,20.6,-1,12 ,30 ,0.0 
5122562,4,12.6,77.6,248.5,-11,16.6,-1,12 ,30 ,0.0 
5122562,4,13.3,67.6,248.5,-11,21.2,-1,12 ,30 ,0.0 
5122562,4,16.2,82,248.5,-8,18.4,-1,12 ,30 ,0.0 
5122562,4,12.7,59.5,248.5,-8,18.4,-1,12 ,30 ,0.0 
5122562,4,14.9,178.4,248.5,-11,18.4,-1,12 ,30 ,0.0 
5122562,4,14.2,130.6,248.5,-11,18.4,-1,12 ,30 ,0.0 
5122562,4,17.1,115.1,248.5,-12,27.2,-1,12 ,30 ,0.0 
5122562,4,18.3,77.1,249.6,-12,23,-1,12 ,30 ,0.0 
5122562,4,19.8,76.2,250.3,-14,16.4,3,12 ,30 ,0.0 
5122562,4,16.4,46.2,248.5,-14,21.6,3,12 ,30 ,0.0 
5122562,4,16.8,19.1,250.3,-12,17.4,-1,12 ,30 ,0.0 
5122562,4,22.2,89.7,248.8,-12,19,-1,12 ,30 ,0.0 
5122562,4,16.2,67,250.3,-10,18.6,-1,12 ,30 ,0.0 
5122562,4,18.2,33.8,250.3,-13,17,-1,12 ,30 ,0.0 
5122562,4,19.2,25.1,251.1,-13,18.4,-1,12 ,30 ,0.0 
5122562,4,16.1,30.9,250.3,-7,15.8,-1,12 ,30 ,0.0 
5122562,4,17.6,19.6,251.1,-7,19.2,-1,12 ,30 ,0.0 
5122562,4,18.3,24.9,251.1,-10,18,2,12 ,30 ,0.0 
5122562,4,17.4,41.6,254.7,-10,18,2,12 ,30 ,0.0 
5122562,4,15.7,40,251.1,-8,15.8,2,12 ,30 ,0.0 
5122562,4,15.1,40.4,251.1,-8,18.2,2,12 ,30 ,0.0 
5122562,4,13.8,3.8,255,-16,18,-1,12 ,30 ,0.0 
5122562,4,14,358.6,258.5,-16,18.2,-1,12 ,30 ,0.0 
5122562,4,13.5,2,258.7,-11,18.8,2,12 ,30 ,0.0 
5122562,4,14.4,357.7,257.9,-11,14,2,12 ,30 ,0.0 
5122562,4,14.8,358.6,257.9,-8,13,3,12 ,30 ,0.0 
5122562,4,17.5,357.2,257.9,-8,11,3,12 ,30 ,0.0 
5122562,4,20.2,357.6,257.9,-12,13.2,-1,12 ,30 ,0.0 
5122562,4,16.9,351.3,254.8,-12,10.6,-1,12 ,30 ,0.0 
5122562,4,15.9,356.6,254.8,-12,7.6,-1,12 ,30 ,0.0 
5122562,4,16,340.3,254.8,-12,7.6,-1,12 ,30 ,0.0 
5122562,4,18.2,1.2,254.7,-13,10.2,3,12 ,30 ,0.0 
5122562,4,9.6,327.8,254.8,-15,10.2,-1,12 ,30 ,0.0 
5122562,4,6.4,282.7,254.8,-11,12,-1,12 ,30 ,0.0 
5122562,4,6.9,300.7,254.8,-11,12,-1,12 ,30 ,0.0 
5122562,4,7.7,303.2,254.8,-10,10.4,-1,12 ,30 ,0.0 
5122562,4,5.4,304.3,255.5,-12,10,-1,12 ,30 ,0.0 
5122562,4,8.6,299.8,255.6,-13,13.4,-1,12 ,30 ,0.0 
5122562,4,13.8,72.7,255.6,-12,12,-1,12 ,30 ,0.0 
5122562,4,11.4,272.7,254.7,-10,12.8,-1,12 ,30 ,0.0 
5122562,4,11.6,263.2,254.7,-12,12.8,-1,12 ,30 ,0.0 
5122562,4,11.1,297.7,254.7,-13,13.4,3,12 ,30 ,0.0 
5122562,4,301.5,297.1,255,-14,11.6,-1,12 ,30 ,0.0 
5122562,4,16,249,254.8,-14,11.6,-1,12 ,30 ,0.0 
5122562,4,12.9,110.7,254.8,-12,11.8,-1,12 ,30 ,0.0 
5122562,4,8.6,334,254.8,-10,11.8,-1,12 ,30 ,0.0 
5122562,4,8.6,79.4,254.4,-12,9.4,-1,12 ,30 ,0.0 
5122562,4,7.5,277.7,254.8,-9,13.2,-1,12 ,30 ,0.0 
5122562,4,7.5,277.3,254.8,-9,12,-1,12 ,30 ,0.0 
5122562,4,11.7,210.8,254.8,-13,14,-1,12 ,30 ,0.0 
