cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,speed,rsrq,ss,WindGust,Pressure,Precip
5130497,20041,66611,165,66,2127.5,-82,39.0383492,-94.5872212,0.3,-11,31,30,28.78,0
5130497,20041,66611,165,66,2127.5,-82,39.0379244,-94.5871916,9.5,-11,31,30,28.78,0
5130497,20041,66611,165,66,2127.5,-84,39.0369169,-94.5872127,5.3,-10,30,30,28.78,0
5130497,20041,66611,165,66,2127.5,-93,39.0366898,-94.5871957,2,-14,27,30,28.78,0
5130497,20041,66611,165,66,2127.5,-93,39.036646,-94.587234,2.2,-14,27,30,28.78,0
5130497,20041,66611,165,66,2127.5,-90,39.0364259,-94.5872519,6.9,-16,28,30,28.78,0
5130497,20041,66611,165,66,2127.5,-90,39.0356981,-94.5871886,10.3,-16,28,30,28.78,0
10118669,39526,876,332,2,1957.6,-89,39.035288,-94.587231,6.1,-12,29,30,28.78,0
25670668,100276,876,112,2,1957.6,-81,39.0351452,-94.5873012,0.3,-14,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-81,39.0351625,-94.5873276,0.2,-14,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-84,39.0351097,-94.5873278,3.4,-12,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-84,39.0348887,-94.5869921,7.7,-12,31,30,28.78,0
5125645,20022,876,2,2,1957.6,-91,39.0348466,-94.5856171,9.4,-17,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-98,39.0348741,-94.5848918,2.8,-20,26,30,28.78,0
25670668,100276,876,112,2,1957.6,-93,39.0348431,-94.5848547,0.7,-15,27,30,28.78,0
25670668,100276,876,112,2,1957.6,-93,39.0347973,-94.5846123,5.3,-12,26,30,28.78,0
25670668,100276,876,112,2,1957.6,-93,39.0347647,-94.5842979,4.7,-12,26,30,28.78,0
10118668,39526,876,52,2,1957.6,-80,39.0345513,-94.5841492,3.6,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-86,39.0344143,-94.5842737,0.8,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-86,39.0344567,-94.5840874,1,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-88,39.0344496,-94.584099,1.5,-13,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-88,39.0345604,-94.584249,1.9,-13,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.0346219,-94.58423,1,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.0345424,-94.5840541,0.3,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0345148,-94.5840177,0.1,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346459,-94.5843268,9.6,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346954,-94.5844165,1,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0346999,-94.584396,0.2,-11,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0346981,-94.5843694,0.2,-11,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0345445,-94.5840977,0.4,-11,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0346206,-94.5841236,1.6,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0346901,-94.5841016,1.4,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0346934,-94.5840891,1.6,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0347191,-94.584041,1.4,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346833,-94.5839169,1.8,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346963,-94.5838302,1.5,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.034723,-94.5837412,1.5,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-77,39.0347419,-94.5836512,1.5,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-77,39.0347613,-94.583569,0.7,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.034758,-94.5835648,0.3,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.0347269,-94.5834325,1.4,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.034726,-94.5833759,0.7,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0346884,-94.583304,0.8,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0346038,-94.5832504,1.5,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0345938,-94.5832097,1.6,-10,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0345064,-94.583215,1.5,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346516,-94.582858,1.6,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0346796,-94.5827284,1.6,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.034718,-94.5826488,1.5,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.0347817,-94.5826309,1.5,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.0348489,-94.5825523,1.6,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0348609,-94.5824749,0.6,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0348547,-94.5824438,0.5,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-74,39.0348043,-94.5823964,1.1,-12,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-74,39.0348046,-94.5823087,1.5,-12,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-69,39.0347951,-94.5822371,1.4,-11,31,30,28.78,0
